mirfam,expression
conserved,1.338173
Eutherian,1.379155
Eutherian,2.505461
Eutherian,1.613751
Eutherian,2.073046
Eutherian,7.040443
Eutherian,7.798083
Eutherian,6.962439
Eutherian,6.011086
Eutherian,5.217419
Eutherian,5.557591
Eutherian,4.88724
Eutherian,5.902957
Eutherian,2.801923
Eutherian,1.394348
Eutherian,2.167626
Eutherian,1.712325
Eutherian,8.625953
Eutherian,8.747845
Eutherian,8.84641
Eutherian,7.821803
Eutherian,0.993766
Eutherian,1.179835
Eutherian,1.155204
Eutherian,1.08926
Mir-3613,1.578089
Mir-3613,1.758411
Mir-3613,1.003224
Mir-3613,2.010871
Eutherian,4.955192
Eutherian,3.788482
Eutherian,3.548124
Eutherian,1.788598
Eutherian,5.433657
Eutherian,4.957701
Eutherian,5.257651
Eutherian,3.495498
Eutherian,4.469091
Eutherian,4.174901
Eutherian,4.424617
Eutherian,2.169575
Eutherian,5.609827
Eutherian,5.800638
Eutherian,5.621645
Eutherian,3.720976
Eutherian,1.230687
Eutherian,1.152663
Eutherian,1.163872
Eutherian,1.199918
Eutherian,0.928212
Eutherian,1.11014
Eutherian,0.894077
Eutherian,1.103224
Eutherian,0.767575
Eutherian,0.866114
Eutherian,1.003224
Eutherian,0.871784
Eutherian,0.719321
Eutherian,0.957835
Eutherian,0.906146
Eutherian,1.046785
Eutherian,7.528466
Eutherian,8.530087
Eutherian,7.284675
Eutherian,7.209846
Eutherian,0.921612
Eutherian,1.067525
Eutherian,1.20967
Eutherian,1.163363
Eutherian,1.307741
Eutherian,1.403818
Eutherian,1.415089
Eutherian,1.009998
Eutherian,1.515709
Eutherian,1.118416
Eutherian,1.420699
Eutherian,1.181489
Eutherian,0.983436
Eutherian,1.197916
Eutherian,1.236554
Eutherian,0.995083
Eutherian,0.520428
Eutherian,1.059571
Eutherian,0.638618
Eutherian,0.466462
Eutherian,1.742609
Eutherian,2.718625
Eutherian,1.546522
Eutherian,1.685137
conserved,2.155344
conserved,2.504085
conserved,1.854958
conserved,3.410442
Eutherian,1.210381
Eutherian,0.997376
Eutherian,1.00833
Eutherian,0.678634
conserved,0.683738
conserved,1.411081
conserved,1.148306
conserved,1.193024
Eutherian,1.843012
Eutherian,1.488585
Eutherian,1.858765
Eutherian,1.787036
Eutherian,3.448753
Eutherian,2.556986
Eutherian,1.123956
Eutherian,1.164902
Eutherian,0.804015
Eutherian,0.54783
Eutherian,0.824262
Eutherian,1.143405
Mir-489,4.838788
Mir-489,5.66206
Mir-489,5.394367
Mir-489,1.671571
Eutherian,4.237944
Eutherian,1.908337
Eutherian,3.635799
Eutherian,3.093513
Eutherian,0.825654
Eutherian,0.732947
Eutherian,0.632873
Eutherian,0.667502
conserved,1.028492
conserved,0.86995
conserved,1.240062
conserved,0.828102
Eutherian,2.187204
Eutherian,3.238813
Eutherian,1.016842
Eutherian,1.104872
Eutherian,4.644583
Eutherian,4.938615
Eutherian,5.084071
Eutherian,2.286444
Mir-506,0.55265
Mir-506,0.76108
Mir-506,1.095649
Mir-506,0.707742
Mir-506,1.038502
Mir-506,1.094076
Mir-506,1.183907
Mir-506,1.077555
Mir-506,0.804619
Mir-506,0.831203
Mir-506,0.93244
Mir-506,0.960457
Mir-506,1.338718
Mir-506,1.119354
Mir-506,1.340739
Mir-506,1.794725
Mir-506,0.451542
Mir-506,0.917804
Mir-506,0.732783
Mir-506,0.543504
Mir-506,0.828696
Mir-506,0.955708
Mir-506,0.806082
Mir-506,0.82447
Mir-506,0.917612
Mir-506,0.855348
Mir-506,0.777006
Mir-506,0.86291
Mir-506,0.768038
Mir-506,0.91476
Mir-506,1.007205
Mir-506,0.622024
Mir-506,1.459394
Mir-506,1.017575
Mir-506,1.05953
Mir-506,1.015734
Mir-506,2.562297
Mir-506,1.051988
Mir-506,1.549947
Mir-506,1.133403
Mir-506,3.328301
Mir-506,0.703095
Mir-506,0.867703
Mir-506,0.849502
Mir-506,2.56805
Mir-506,1.128182
Mir-506,1.310371
Mir-506,1.437647
Mir-506,0.806076
Mir-506,1.012098
Mir-506,1.051173
Mir-506,1.193952
Mir-506,1.261377
Mir-506,1.242158
Mir-506,1.125079
Mir-506,1.118108
Mir-506,0.818688
Mir-506,1.056074
Mir-506,0.757448
Mir-506,0.765127
Eutherian,1.329811
Eutherian,1.402349
Eutherian,0.933046
Eutherian,1.226033
Eutherian,0.819768
Eutherian,0.996685
Eutherian,0.826833
Eutherian,1.047805
conserved,1.408381
conserved,1.510785
conserved,1.178079
conserved,1.293034
conserved,0.959971
conserved,0.954158
conserved,1.019152
conserved,1.674827
Eutherian,4.536638
Eutherian,4.452328
Eutherian,4.401282
Eutherian,2.704227
Eutherian,1.074495
Eutherian,1.09078
Eutherian,0.925274
Eutherian,1.364305
Eutherian,0.960811
Eutherian,1.463349
Eutherian,1.40235
Eutherian,1.23332
Eutherian,1.585676
Eutherian,0.889142
Eutherian,1.022888
Eutherian,1.026348
Eutherian,1.218512
Eutherian,0.711653
Eutherian,0.852337
Eutherian,1.659852
Eutherian,6.318416
Eutherian,5.013301
Eutherian,6.25063
Eutherian,4.200156
Eutherian,0.883401
Eutherian,1.015446
Eutherian,0.992466
Eutherian,0.789118
Eutherian,0.612211
Eutherian,0.863909
Eutherian,0.703351
Eutherian,0.855093
Eutherian,1.431023
Eutherian,1.945719
Eutherian,1.363356
Eutherian,1.607176
Eutherian,0.706758
Eutherian,1.283294
Eutherian,0.808509
Eutherian,0.995109
Eutherian,0.788857
Eutherian,0.681424
Eutherian,0.80221
Eutherian,0.710722
conserved,1.330841
conserved,3.251114
conserved,2.697482
conserved,1.332601
Eutherian,8.082264
Eutherian,8.90169
Eutherian,8.358291
Eutherian,8.133137
Eutherian,3.19146
Eutherian,2.11398
Eutherian,3.446812
Eutherian,1.700021
Mir-766,2.556951
Mir-766,3.867799
Mir-766,2.831667
Mir-766,2.594963
Mir-769,4.375613
Mir-769,3.775255
Mir-769,2.995885
Mir-769,3.847021
conserved,1.163173
conserved,1.129859
conserved,1.179985
conserved,1.15706
conserved,2.204591
conserved,2.434583
conserved,3.02559
conserved,2.058363
conserved,3.105262
conserved,1.706135
conserved,3.188832
conserved,1.189978
conserved,9.826591
conserved,9.585469
conserved,10.178929
conserved,8.299526
conserved,1.293066
conserved,1.073589
conserved,0.983608
conserved,0.98481
Eutherian,6.265597
Eutherian,5.951401
Eutherian,6.065077
Eutherian,6.031508
Eutherian,0.666357
Eutherian,0.914452
Eutherian,0.640023
Eutherian,0.974913
Mir-885,1.198649
Mir-885,1.003224
Mir-885,1.787393
Mir-885,1.242257
conserved,1.009621
conserved,0.833931
conserved,0.945792
conserved,0.627811
conserved,12.19642
conserved,12.556944
conserved,12.260252
conserved,11.492688
conserved,8.746502
conserved,8.741244
conserved,9.554994
conserved,8.168959
conserved,4.673693
conserved,5.011616
conserved,3.810612
conserved,5.795011
conserved,7.049837
conserved,4.908904
conserved,6.261675
conserved,6.776212
conserved,7.305209
conserved,7.856403
conserved,7.384645
conserved,6.941636
conserved,1.480801
conserved,1.742592
conserved,1.058706
conserved,2.155183
conserved,8.976874
conserved,10.740485
conserved,9.100144
conserved,9.750944
conserved,5.213213
conserved,7.236838
conserved,5.581275
conserved,6.557313
