UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene stable ID
O15198	A0A024RDR3	ENSG00000120693
	A0A7I2R5A4	ENSG00000120693
Q96K58	A0A024QZD9	ENSG00000167394
Q96K58		ENSG00000167394
	C9J092	ENSG00000167394
	C9JCJ0	ENSG00000167394
	C9JG35	ENSG00000167394
O15015		ENSG00000167395
	H3BSD0	ENSG00000167395
	C9J3L0	ENSG00000167395
Q9HCS4		ENSG00000152284
	C9JPE3	ENSG00000152284
	H7C5D8	ENSG00000152977
Q15915		ENSG00000152977
Q9Y6X0		ENSG00000152217
	A0A7I2V4X1	ENSG00000152217
Q70YC5		ENSG00000138311
	C9J1G1	ENSG00000138311
P28698		ENSG00000099326
P28698	A0A024R4T5	ENSG00000099326
	M0R1U5	ENSG00000099326
	M0R2C0	ENSG00000099326
	U3KQU3	ENSG00000148143
Q96JM2		ENSG00000148143
	H3BLX4	ENSG00000148143
	H0Y6H9	ENSG00000148143
P41970	A0A024RBE2	ENSG00000111145
	F8VZQ0	ENSG00000111145
	G3V1Z7	ENSG00000111145
	F8VUJ0	ENSG00000111145
	H0YIH6	ENSG00000111145
Q92664	A0A1X7SBT5	ENSG00000122034
	H7C326	ENSG00000122034
	H7BZH7	ENSG00000122034
	H7BZ51	ENSG00000122034
Q99081	A0A024R5Z0	ENSG00000140262
Q99081	A0A024R5T1	ENSG00000140262
	B4DGI9	ENSG00000140262
	H0YNQ5	ENSG00000140262
	H0YML2	ENSG00000140262
	F5GY10	ENSG00000140262
Q99081		ENSG00000140262
	B4DZP2	ENSG00000140262
	H0YNP8	ENSG00000140262
	H3BNF4	ENSG00000140262
	H3BRK2	ENSG00000140262
Q9H4Q4		ENSG00000130711
	A0A6Q8PH01	ENSG00000130711
Q9NXT0		ENSG00000083828
	A0A494BZW3	ENSG00000083828
	M0QZ99	ENSG00000083828
	M0R166	ENSG00000083828
	M0R336	ENSG00000083828
	K7EKI9	ENSG00000159917
	K7ESF8	ENSG00000159917
	K7ES94	ENSG00000159917
